"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_backend","glmnet_alpha","seed","rho","label_strength","mcem_samples","model","aggregation","n_patients","n_early","n_advanced","auroc","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","metric_name","metric_value"
"EXP036_binary_NMFk50_xgboost_seed2026","binary",NA,"NMF",50,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP036_binary_NMFk50_xgboost_seed2026","binary",NA,"NMF",50,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","categorical","three_stage","PCA",10,"glmnet",0,2026,NA,0.7,30,"Categorical EM-MMIL","q99_prob",12,NA,NA,NA,1.15840225973671,0.75,0.6,0.816666666666667,"accuracy",0.75
"EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","categorical","three_stage","PCA",10,"glmnet",0,2026,NA,0.7,30,"Categorical MCEM-MMIL","q99_prob",12,NA,NA,NA,1.16340267312167,0.75,0.6,0.816666666666667,"accuracy",0.75
"EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","categorical","three_stage","PCA",10,"glmnet",0,2026,NA,0.7,30,"Naive inherited-label classifier","q99_prob",12,NA,NA,NA,0.938841224015486,0.5,0.4,0.479166666666667,"accuracy",0.5
"EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",10,"glmnet",0.5,2026,NA,0.7,30,"Categorical EM-MMIL","median_prob",12,NA,NA,NA,1.1612548029909,0.75,0.6,0.829059829059829,"accuracy",0.75
"EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",10,"glmnet",0.5,2026,NA,0.7,30,"Categorical MCEM-MMIL","median_prob",12,NA,NA,NA,1.14110921474271,0.75,0.6,0.829059829059829,"accuracy",0.75
"EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",10,"glmnet",0.5,2026,NA,0.7,30,"Naive inherited-label classifier","q99_prob",12,NA,NA,NA,0.936812749848082,0.5,0.4,0.479166666666667,"accuracy",0.5
"EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026","categorical","three_stage","PCA",10,"glmnet",1,2026,NA,0.7,30,"Categorical EM-MMIL","mean_prob",12,NA,NA,NA,0.929910768987041,0.75,0.6,0.816666666666667,"accuracy",0.75
"EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026","categorical","three_stage","PCA",10,"glmnet",1,2026,NA,0.7,30,"Categorical MCEM-MMIL","mean_prob",12,NA,NA,NA,0.929970773711528,0.75,0.6,0.816666666666667,"accuracy",0.75
